@relation 'prueba-weka.filters.unsupervised.attribute.Remove-R19-37-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 4'

@attribute score numeric
@attribute ghosts-living numeric
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
369,4,0,6,6,0,0,6,8,0,7,7,West,False,False,False,False,West,cluster3
368,4,0,5,4,0,0,6,6,0,6,7,West,False,False,False,False,South,cluster3
366,4,0,2,4,0,0,3,4,0,6,5,South,False,False,False,False,South,cluster10
365,4,0,1,6,0,0,2,4,0,6,4,South,False,False,False,False,West,cluster3
564,4,0,0,6,0,0,1,6,0,5,4,West,False,False,False,False,North,cluster9
563,4,0,0,6,0,0,0,6,0,5,5,North,False,False,False,False,North,cluster9
562,4,0,0,6,0,0,0,6,0,5,6,North,False,False,False,False,North,cluster9
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop,cluster1
-5,4,0,18,9,6,0,16,7,6,14,12,East,False,False,False,False,North,cluster1
-7,4,0,22,11,6,0,20,9,6,14,14,North,False,False,False,True,South,cluster1
192,4,0,20,11,6,0,22,11,6,14,13,South,False,False,False,False,West,cluster10
191,4,0,20,11,8,0,20,11,6,13,13,West,False,False,False,False,South,cluster1
190,4,0,20,10,7,0,20,11,8,13,12,South,False,False,False,False,South,cluster10
189,4,0,20,10,5,0,20,10,7,13,11,South,False,False,False,False,South,cluster10
188,4,0,18,10,4,0,20,10,5,13,10,South,False,False,False,False,South,cluster10
186,4,0,14,11,3,0,16,11,4,13,8,South,False,False,False,False,South,cluster10
185,4,0,13,13,1,0,14,11,3,13,7,South,False,False,False,False,South,cluster10
384,4,0,12,13,0,0,13,13,1,13,6,South,False,False,False,False,West,cluster3
383,4,0,10,11,0,0,12,13,0,12,6,West,False,False,False,False,West,cluster3
382,4,0,9,11,0,0,10,11,0,11,6,West,False,False,False,False,West,cluster3
381,4,0,9,9,0,0,9,11,0,10,6,West,False,False,False,False,West,cluster3
379,4,0,7,6,0,0,9,7,0,8,6,West,False,False,False,False,North,cluster3
378,4,0,7,4,0,0,7,6,0,8,7,North,False,False,False,False,North,cluster9
377,4,0,8,4,0,0,7,4,0,8,8,North,False,False,False,False,North,cluster9
375,4,0,8,2,0,0,10,2,0,7,9,West,False,False,False,False,West,cluster3
374,4,0,6,1,0,0,8,2,0,6,9,West,False,False,False,False,South,cluster3
573,4,0,6,0,0,0,6,1,0,6,8,South,False,False,False,False,South,cluster10
572,4,0,5,0,0,0,6,0,0,6,7,South,False,False,False,False,West,cluster3
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop,cluster1
-2,4,0,12,9,6,0,10,9,5,12,11,North,False,False,False,False,North,cluster9
-3,4,0,12,9,6,0,12,9,6,12,12,North,False,False,False,False,East,cluster2
196,4,0,13,10,8,0,12,9,6,13,12,East,False,False,False,False,South,cluster1
195,4,0,11,10,6,0,13,10,8,13,11,South,False,False,False,False,South,cluster10
194,4,0,11,12,4,0,11,10,6,13,10,South,False,False,False,False,South,cluster10
192,4,0,8,13,4,0,10,13,4,13,8,South,False,False,False,False,South,cluster10
191,4,0,8,14,2,0,8,13,4,13,7,South,False,False,False,False,South,cluster10
390,4,0,10,14,0,0,8,14,2,13,6,South,False,False,False,False,West,cluster3
389,4,0,8,14,0,0,10,14,0,12,6,West,False,False,False,False,West,cluster3
388,4,0,8,12,0,0,8,14,0,11,6,West,False,False,False,False,West,cluster3
387,4,0,6,10,0,0,8,12,0,10,6,West,False,False,False,False,West,cluster3
386,4,0,6,9,0,0,6,10,0,9,6,West,False,False,False,False,West,cluster3
384,4,0,2,6,0,0,4,7,0,7,6,West,False,False,False,False,West,cluster3
383,4,0,1,5,0,0,2,6,0,6,6,West,False,False,False,False,West,cluster3
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop,cluster1
-3,4,0,13,6,8,0,12,8,7,12,12,North,False,False,False,False,East,cluster2
-6,4,0,17,7,8,0,17,7,8,15,12,East,False,False,False,False,North,cluster1
-7,4,0,19,8,10,0,17,7,8,15,13,North,False,False,False,False,East,cluster2
192,4,0,20,9,10,0,19,8,10,16,13,East,False,False,False,False,South,cluster1
191,4,0,18,9,9,0,20,9,10,16,12,South,False,False,False,False,South,cluster10
190,4,0,17,9,9,0,18,9,9,16,11,South,False,False,False,False,South,cluster10
189,4,0,15,9,9,0,17,9,9,16,10,South,False,False,False,False,South,cluster10
188,4,0,14,9,7,0,15,9,9,16,9,South,False,False,False,False,South,cluster10
187,4,0,12,10,6,0,14,9,7,16,8,South,False,False,False,False,South,cluster10
185,4,0,14,13,2,0,12,11,4,16,6,South,False,False,False,False,South,cluster10
184,4,0,14,14,1,0,14,13,2,16,5,South,False,False,False,False,West,cluster3
383,4,0,14,14,0,0,14,14,1,15,5,West,False,False,False,False,West,cluster3
382,4,0,12,14,0,0,14,14,0,14,5,West,False,False,False,False,West,cluster3
381,4,0,12,14,0,0,12,14,0,13,5,West,False,False,False,False,West,cluster3
380,4,0,11,14,0,0,12,14,0,12,5,West,False,False,False,False,West,cluster3
379,4,0,10,12,0,0,11,14,0,11,5,West,False,False,False,False,West,cluster3
378,4,0,9,12,0,0,10,12,0,10,5,West,False,False,False,False,West,cluster3
377,4,0,9,12,0,0,9,12,0,9,5,West,False,False,False,False,West,cluster3
376,4,0,7,10,0,0,9,12,0,8,5,West,False,False,False,False,West,cluster3
375,4,0,7,9,0,0,7,10,0,7,5,West,False,False,False,False,North,cluster3
374,4,0,5,9,0,0,7,9,0,7,6,North,False,False,False,False,North,cluster9
373,4,0,3,7,0,0,5,9,0,7,7,North,False,False,False,False,North,cluster9
372,4,0,3,5,0,0,3,7,0,7,8,North,False,False,False,False,North,cluster9
369,4,0,3,5,0,0,3,5,0,5,9,West,False,False,False,False,West,cluster3
368,4,0,3,7,0,0,3,5,0,4,9,West,False,False,False,False,West,cluster3
367,4,0,3,9,0,0,3,7,0,3,9,West,False,False,False,False,North,cluster9
364,4,0,1,6,0,0,1,8,0,2,11,North,False,False,False,False,South,cluster9
363,4,0,1,8,0,0,1,6,0,2,10,South,False,False,False,False,North,cluster9
562,4,0,0,6,0,0,1,8,0,2,11,North,False,False,False,False,East,cluster9
561,4,0,0,6,0,0,0,6,0,3,11,East,False,False,False,False,East,cluster2
560,4,0,0,5,0,0,0,6,0,4,11,East,False,False,False,False,East,cluster2
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop,cluster1
-3,4,0,12,7,6,0,12,9,6,12,12,North,False,False,False,False,West,cluster4
-4,4,0,10,7,7,0,12,7,6,11,12,West,False,False,False,False,North,cluster3
195,4,0,12,7,8,0,10,7,7,11,13,North,False,False,False,False,West,cluster4
194,4,0,12,6,10,0,12,7,8,10,13,West,False,False,False,False,West,cluster3
193,4,0,10,6,12,0,12,6,10,9,13,West,False,False,False,False,West,cluster3
192,4,0,9,4,14,0,10,6,12,8,13,West,False,False,False,False,West,cluster3
191,4,0,9,4,14,0,9,4,14,7,13,West,False,False,False,False,West,cluster3
190,4,0,8,4,15,0,9,4,14,6,13,West,False,False,False,False,South,cluster10
189,4,0,8,3,13,0,8,4,15,6,12,South,False,False,False,False,South,cluster10
188,4,0,8,3,11,0,8,3,13,6,11,South,False,False,False,False,South,cluster10
186,4,0,8,2,9,0,8,2,11,7,10,East,False,False,False,False,East,cluster2
185,4,0,10,1,7,0,8,2,9,8,10,East,False,False,False,False,South,cluster1
384,4,0,10,0,5,0,10,1,7,8,9,South,False,False,False,False,South,cluster10
382,4,0,7,0,4,0,8,0,4,8,7,South,False,False,False,False,South,cluster10
380,4,0,8,0,4,0,6,0,4,9,6,East,False,False,False,False,East,cluster2
379,4,0,10,0,2,0,8,0,4,10,6,East,False,False,False,False,East,cluster2
378,4,0,11,0,4,0,10,0,2,11,6,East,False,False,False,False,South,cluster1
376,4,0,9,0,3,0,11,0,3,10,5,West,False,False,False,False,South,cluster3
375,4,0,9,0,2,0,9,0,3,10,4,South,False,False,False,False,West,cluster3
574,4,0,7,0,0,0,9,0,2,9,4,West,False,False,False,False,South,cluster3
573,4,0,7,0,0,0,7,0,0,9,3,South,False,True,False,False,North,cluster9
572,4,0,7,0,0,0,7,0,0,9,4,North,False,False,False,False,West,cluster9
571,4,0,7,0,0,0,7,0,0,8,4,West,False,False,False,False,West,cluster3
570,4,0,7,0,0,0,7,0,0,7,4,West,False,False,False,False,West,cluster3
569,4,0,7,0,0,0,7,0,0,6,4,West,False,False,False,False,North,cluster9
568,4,0,7,0,0,0,7,0,0,6,5,North,False,False,False,False,North,cluster9
567,4,0,5,0,0,0,7,0,0,6,6,North,False,False,False,False,West,cluster9
566,4,0,5,0,0,0,5,0,0,5,6,West,False,False,False,False,North,cluster9
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop,cluster1
-2,4,0,13,6,8,0,11,8,6,12,11,North,False,False,False,False,North,cluster9
197,4,0,13,6,8,0,13,6,8,12,12,North,False,False,False,False,South,cluster1
196,4,0,11,7,8,0,13,6,8,12,11,South,False,False,False,False,South,cluster10
195,4,0,9,8,6,0,11,7,8,12,10,South,False,False,False,False,South,cluster10
192,4,0,7,13,1,0,7,11,3,12,7,South,False,False,False,False,East,cluster10
191,4,0,7,15,1,0,7,13,1,13,7,East,False,False,False,False,South,cluster1
390,4,0,5,16,0,0,7,15,1,13,6,South,False,False,False,False,South,cluster10
389,4,0,5,16,0,0,5,16,0,13,5,South,False,False,False,False,West,cluster3
388,4,0,5,14,0,0,5,16,0,12,5,West,False,False,False,False,West,cluster3
387,4,0,5,12,0,0,5,14,0,11,5,West,False,False,False,False,West,cluster3
385,4,0,3,12,0,0,3,12,0,9,5,West,False,False,False,False,West,cluster3
384,4,0,1,11,0,0,3,12,0,8,5,West,False,False,False,False,South,cluster3
583,4,0,0,13,0,0,1,11,0,8,4,South,False,False,False,False,North,cluster9
582,4,0,0,13,0,0,0,13,0,8,5,North,False,False,False,False,West,cluster3
581,4,0,0,13,0,0,0,13,0,7,5,West,False,False,False,False,North,cluster3
580,4,0,0,13,0,0,0,13,0,7,6,North,False,False,False,False,North,cluster9
579,4,0,0,13,0,0,0,13,0,7,7,North,False,False,False,False,North,cluster9
578,4,0,0,11,0,0,0,13,0,7,8,North,False,False,False,False,North,cluster9
577,4,0,0,9,0,0,0,11,0,7,9,North,False,False,False,False,North,cluster9
576,4,0,0,8,0,0,0,9,0,7,10,North,False,False,False,False,North,cluster9
575,4,0,0,8,0,0,0,8,0,7,11,North,False,False,False,False,West,cluster9
574,4,0,0,7,0,0,0,8,0,6,11,West,False,False,False,False,West,cluster3
573,4,0,0,5,0,0,0,7,0,5,11,West,False,False,False,False,West,cluster3
571,4,0,0,3,0,0,0,5,0,4,12,North,False,False,False,False,West,cluster9
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop,cluster1
-1,4,0,10,9,5,0,11,9,5,12,10,Stop,False,False,False,False,North,cluster9
-2,4,0,12,9,5,0,10,9,5,12,11,North,False,False,False,False,North,cluster9
-4,4,0,11,9,5,0,12,9,7,12,11,South,False,False,False,False,South,cluster10
-5,4,0,9,10,4,0,11,9,5,12,10,South,False,False,False,False,East,cluster10
194,4,0,11,12,5,0,9,10,4,13,10,East,False,False,False,False,West,cluster1
193,4,0,10,10,5,0,11,12,5,12,10,West,False,False,False,False,South,cluster1
192,4,0,10,12,4,0,10,10,5,12,9,South,False,False,False,False,West,cluster10
191,4,0,10,10,3,0,10,12,4,11,9,West,False,False,False,False,South,cluster1
189,4,0,8,10,3,0,10,10,3,11,7,South,False,False,False,False,West,cluster10
387,4,0,9,6,0,0,7,8,1,10,8,North,False,False,False,False,West,cluster3
385,4,0,9,4,0,0,7,4,0,9,9,North,False,False,False,False,West,cluster3
384,4,0,8,4,0,0,9,4,0,8,9,West,False,False,False,False,North,cluster3
383,4,0,10,4,0,0,8,4,0,8,10,North,False,False,False,False,North,cluster9
382,4,0,10,4,0,0,10,4,0,8,11,North,False,False,False,False,West,cluster3
381,4,0,8,4,0,0,10,4,0,7,11,West,False,False,False,False,West,cluster3
380,4,0,7,4,0,0,8,4,0,6,11,West,False,False,False,False,North,cluster3
378,4,0,6,2,0,0,7,4,0,5,12,West,False,False,False,False,West,cluster3
377,4,0,6,1,0,0,6,2,0,4,12,West,False,False,False,False,West,cluster3
576,4,0,6,0,0,0,6,1,0,3,12,West,False,False,False,False,South,cluster3
575,4,0,6,0,0,0,6,0,0,3,11,South,False,False,False,False,South,cluster10
0,4,0,11,7,7,0,0,0,0,1,11,Stop,True,False,False,True,Stop,cluster6
-1,4,0,10,8,7,0,11,7,7,1,11,Stop,True,False,False,True,Stop,cluster6
-3,4,0,9,7,7,0,9,7,7,2,11,East,False,True,False,True,East,cluster7
-4,4,0,11,6,6,0,9,7,7,3,11,East,False,True,False,True,East,cluster7
-6,4,0,13,6,5,0,13,6,6,5,11,East,False,False,False,True,East,cluster7
-7,4,0,11,5,5,0,13,6,5,6,11,East,False,False,False,True,East,cluster7
-10,4,0,14,4,2,0,15,5,3,9,11,East,False,True,False,True,East,cluster7
189,4,0,14,2,0,0,14,4,2,10,11,East,False,False,False,True,East,cluster2
183,4,0,15,7,0,0,15,5,0,14,9,East,False,False,False,False,East,cluster2
181,4,0,17,11,0,0,15,9,0,16,9,East,False,False,False,True,South,cluster1
180,4,0,16,11,0,0,17,11,0,16,8,South,False,False,False,False,East,cluster10
178,4,0,18,11,0,0,18,11,0,18,8,East,False,False,True,False,West,cluster4
177,4,0,16,9,0,0,18,11,0,17,8,West,False,False,False,False,South,cluster1
176,4,0,16,10,0,0,16,9,0,17,7,South,False,True,False,False,East,cluster10
175,4,0,16,10,0,0,16,10,0,18,7,East,False,False,True,False,South,cluster1
374,4,0,16,10,0,0,16,10,0,18,6,South,True,False,True,False,North,cluster5
373,4,0,18,8,0,0,16,10,0,18,7,North,False,False,True,False,West,cluster4
372,4,0,18,6,0,0,18,8,0,17,7,West,False,True,False,False,North,cluster3
371,4,0,18,5,0,0,18,6,0,17,8,North,False,False,False,False,West,cluster3
369,4,0,15,4,0,0,17,4,0,15,8,West,False,False,False,False,West,cluster3
368,4,0,15,3,0,0,15,4,0,14,8,West,False,False,False,False,West,cluster3
366,4,0,15,2,0,0,17,3,0,12,8,West,True,False,False,False,North,cluster3
365,4,0,15,2,0,0,15,2,0,12,9,North,False,False,False,True,West,cluster3
564,4,0,13,0,0,0,15,2,0,11,9,West,False,True,False,False,West,cluster3
563,4,0,13,0,0,0,13,0,0,10,9,West,False,False,False,False,South,cluster3
562,4,0,12,0,0,0,13,0,0,10,8,South,False,False,True,False,South,cluster10
561,4,0,12,0,0,0,12,0,0,10,7,South,False,False,True,False,South,cluster10
560,4,0,12,0,0,0,12,0,0,10,6,South,False,False,True,False,South,cluster10
559,4,0,11,0,0,0,12,0,0,10,5,South,False,False,False,False,West,cluster3
558,4,0,10,0,0,0,11,0,0,9,5,West,False,False,False,False,West,cluster3
557,4,0,9,0,0,0,10,0,0,8,5,West,False,False,False,False,West,cluster3
556,4,0,8,0,0,0,9,0,0,7,5,West,False,False,False,True,West,cluster3
555,4,0,7,0,0,0,8,0,0,6,5,West,False,False,False,True,West,cluster3
0,4,0,11,7,7,0,0,0,0,1,11,Stop,True,False,False,True,Stop,cluster6
-1,4,0,11,6,6,0,11,7,7,1,11,Stop,True,False,False,True,South,cluster6
-2,4,0,9,4,6,0,11,6,6,1,10,South,True,False,True,False,South,cluster10
-5,4,0,7,3,6,0,7,4,6,3,9,East,False,False,False,True,South,cluster1
-7,4,0,6,5,9,0,7,3,8,2,8,West,False,False,False,False,West,cluster3
-8,4,0,6,5,9,0,6,5,9,1,8,West,True,False,False,False,South,cluster10
-9,4,0,6,7,10,0,6,5,9,1,7,South,True,False,False,False,South,cluster10
-10,4,0,4,7,11,0,6,7,10,1,6,South,True,False,True,False,South,cluster10
-12,4,0,2,9,13,0,2,9,13,2,5,East,False,False,False,True,East,cluster7
-13,4,0,2,8,13,0,2,9,13,3,5,East,False,False,False,True,South,cluster1
186,4,0,0,8,13,0,2,8,13,3,4,South,False,False,False,False,East,cluster2
185,4,0,0,8,13,0,0,8,13,4,4,East,False,False,False,False,East,cluster2
184,4,0,0,8,13,0,0,8,13,5,4,East,False,False,False,False,East,cluster2
181,4,0,0,3,10,0,0,5,11,8,4,East,False,False,False,False,East,cluster2
180,4,0,0,3,12,0,0,3,10,9,4,East,False,False,False,False,East,cluster2
178,4,0,0,3,13,0,0,3,14,10,5,North,False,False,False,False,North,cluster9
376,4,0,0,0,10,0,0,1,12,10,7,North,False,False,True,False,South,cluster4
374,4,0,0,0,11,0,0,0,10,10,5,South,False,False,False,False,East,cluster2
372,4,0,0,0,12,0,0,0,11,12,5,East,False,True,False,True,East,cluster7
571,4,0,0,0,12,0,0,0,12,13,5,East,False,False,False,True,South,cluster1
570,4,0,0,0,13,0,0,0,12,13,4,South,True,False,False,False,North,cluster9
569,4,0,0,0,13,0,0,0,13,13,5,North,False,False,False,True,West,cluster9
568,4,0,0,0,12,0,0,0,13,12,5,West,False,True,False,True,West,cluster3
567,4,0,0,0,12,0,0,0,12,11,5,West,False,False,False,True,West,cluster3
566,4,0,0,0,12,0,0,0,12,10,5,West,False,False,False,False,North,cluster9
565,4,0,0,0,11,0,0,0,12,10,6,North,False,False,True,False,North,cluster9
563,4,0,0,0,7,0,0,0,9,10,8,North,False,False,True,False,North,cluster9
